time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2014-12-07T03:51:36.000Z","LatLng(39.48284, -122.06557)","0.034284912","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-12-07T03:52:00.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-12-23T03:51:35.000Z","LatLng(39.48284, -122.06557)","-0.11604851599999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2014-12-23T03:51:58.000Z","LatLng(39.48284, -122.06557)","-0.145945935","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-01-01T03:45:41.000Z","LatLng(39.48284, -122.06557)","-0.101442428","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-01-08T03:51:30.000Z","LatLng(39.48284, -122.06557)","-0.397849512","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-01-08T03:51:54.000Z","LatLng(39.48284, -122.06557)","-0.397995738","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-01-24T03:51:24.000Z","LatLng(39.48284, -122.06557)","-0.111425228","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-01-24T03:51:48.000Z","LatLng(39.48284, -122.06557)","-0.117546864","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-02-02T03:45:37.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-02-18T03:45:29.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-02-25T03:51:15.000Z","LatLng(39.48284, -122.06557)","0.115091099","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-02-25T03:51:39.000Z","LatLng(39.48284, -122.06557)","0.117555848","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-03-06T03:45:24.000Z","LatLng(39.48284, -122.06557)","0.10278372","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-03-13T03:51:03.000Z","LatLng(39.48284, -122.06557)","0.11811967","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-03-13T03:51:27.000Z","LatLng(39.48284, -122.06557)","0.118119686","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-03-22T03:45:14.000Z","LatLng(39.48284, -122.06557)","0.11925044300000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-03-29T03:50:56.000Z","LatLng(39.48284, -122.06557)","0.10610860400000001","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-03-29T03:51:20.000Z","LatLng(39.48284, -122.06557)","0.106936245","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-04-07T03:45:03.000Z","LatLng(39.48284, -122.06557)","0.130060059","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-04-14T03:50:50.000Z","LatLng(39.48284, -122.06557)","0.123335796","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-04-14T03:51:14.000Z","LatLng(39.48284, -122.06557)","0.12330285699999999","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-04-23T03:45:01.000Z","LatLng(39.48284, -122.06557)","0.13415806800000002","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-04-30T03:50:43.000Z","LatLng(39.48284, -122.06557)","-0.264460851","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-04-30T03:51:06.000Z","LatLng(39.48284, -122.06557)","-0.263984803","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-05-09T03:44:46.000Z","LatLng(39.48284, -122.06557)","-0.071416792","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-05-16T03:50:28.000Z","LatLng(39.48284, -122.06557)","0.235641812","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-05-16T03:50:52.000Z","LatLng(39.48284, -122.06557)","0.22516630399999998","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-05-25T03:44:44.000Z","LatLng(39.48284, -122.06557)","0.575820016","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-06-01T03:50:34.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-06-01T03:50:58.000Z","LatLng(39.48284, -122.06557)","NaN","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
"2015-06-10T03:44:55.000Z","LatLng(39.48284, -122.06557)","0.718992373","NDVI at point","Invalid DateTime","USGS","LANDSAT 8","Blue","LANDSAT-8-TRUE-COLOUR"
